Akkermansia,Alistipes,Bacteroides,Blautia,Clostridium,Collinsella,Coprococcus,Dialister,Dorea,Eubacterium,Faecalibacterium,Lachnobacterium,Lachnospira,Odoribacter,Oscillospira,Parabacteroides,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,Subdoligranulum,Sutterella
0,101,509,109,160,1,29,0,0,15,96,2,0,9,42,16,30,0,27,388,127,0
348,0,5227,20,20,1,18,10,0,40,948,0,5,0,169,230,44,1,36,272,6,96
0,45,1516,4,5,0,1,4,0,1,7,0,0,0,3,65,0,0,9,2071,2,0
0,208,3130,3,1,0,0,57,0,0,13,0,3,16,10,0,0,0,6,21,7,7
303,173,1023,50,47,22,16,2,12,10,382,4,11,11,105,100,0,46,306,505,323,0
0,368,4612,31,35,8,10,0,0,0,43,0,1,42,112,184,88,0,22,27,1,371
5,749,3776,35,49,2,31,0,6,74,924,7,11,34,289,92,84,1,109,14,95,0
225,1112,1766,33,20,0,12,319,2,22,21,0,1,28,307,77,0,0,108,52,34,0
0,330,7514,19,396,8,17,0,2,39,2113,14,124,58,243,215,302,3,488,101,414,190
3,429,2506,18,42,2,33,0,0,38,365,1,52,35,324,106,4,3,63,240,32,23
1,75,1811,35,115,1,14,0,0,10,30,0,38,2,0,655,21,0,13,29,0,0
0,78,2960,4,12,0,2,0,3,0,30,0,5,38,79,184,27,3,14,4,19,0
44,459,2184,37,205,4,12,224,11,12,1235,135,68,31,639,235,0,909,101,161,195,50
4,1280,2259,26,39,0,3,0,0,1,65,3,2,29,412,367,51,0,16,37,146,0
0,480,2051,0,25,0,3,0,0,3,176,0,0,21,275,246,25,0,29,63,7,196
11,759,6169,3,34,5,1,17,3,4,72,10,47,132,195,341,0,0,283,7,20,0
0,0,3264,33,54,39,23,69,7,10,443,1,123,0,33,0,0,0,273,86,118,0
0,390,1483,51,88,6,119,2,5,40,203,1,14,57,323,471,436,877,254,971,190,201
0,282,4882,94,94,25,99,0,19,126,1145,2,248,81,538,451,0,1100,282,267,132,100
40,707,4423,63,296,0,258,0,4,153,729,1,30,0,182,0,14,0,539,94,125,347
24,188,2654,17,281,1,596,1,6,11,1943,0,848,0,474,0,106,1,2317,183,1685,43
1,268,4022,3,133,23,15,282,10,7,1541,2,38,34,21,117,0,0,189,18,71,455
0,24,218,10,599,12,80,0,2,16,2147,1,29,5,3505,26,373,914,2160,857,1194,2
0,59,305,81,146,17,55,518,56,17,101,371,39,4,233,11,268,0,194,722,1921,1
2,197,1865,26,75,27,250,0,4,19,369,11,161,0,223,119,1,2,228,288,100,12
49,260,1119,115,290,22,588,0,57,56,1071,77,167,33,654,280,1,1293,280,369,982,126
0,769,4089,267,794,0,33,0,6,131,4160,7,174,67,124,553,697,2,1752,581,654,0
11,240,2106,33,157,1,214,255,23,13,914,5,308,17,290,121,0,0,927,695,225,0
0,1179,4324,16,18,39,1,2853,1,2,81,1,0,0,716,224,0,1849,37,37,166,0
0,155,551,22,21,0,6,21,1,15,52,4,17,17,21,197,54,35,4,77,12,0
0,15,1802,22,29,0,5,47,0,0,10,0,0,1,11,0,0,0,0,8,0,138
0,48,942,20,15,0,5,0,2,12,8,0,5,7,24,397,40,370,8,16,16,245
0,28,2023,6,9,0,0,0,0,2,2,0,0,0,1,185,5,0,4,5,0,0
0,250,2275,32,26,0,12,1,0,17,127,0,22,43,32,191,50,0,31,16,18,0
0,19,1625,14,12,0,3,6,1,2,40,0,7,0,3,19,21,0,44,21,32,85
0,112,6358,20,20,0,3,0,6,1,31,0,4,0,410,53,21,0,29,9,83,0
2,221,1338,73,204,14,39,187,15,7,122,1,6,10,389,17,355,271,39,324,233,0
9,0,727,18,60,18,76,272,3,25,225,0,24,0,150,211,0,1601,11,84,13,0
0,139,809,15,27,0,21,24,1,24,255,0,33,30,126,48,21,0,14,140,70,0
