Akkermansia,Alistipes,Bacteroides,Blautia,Clostridium,Collinsella,Coprococcus,Dialister,Dorea,Eubacterium,Faecalibacterium,Lachnobacterium,Lachnospira,Odoribacter,Oscillospira,Parabacteroides,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,Subdoligranulum,Sutterella
0,152,1191,19,32,4,25,0,4,27,274,7,47,25,56,167,13,1,150,142,191,0
2,112,2333,3,143,0,1,32,0,13,173,0,3,21,98,727,0,0,7,6,9,0
2,522,2589,77,150,2,72,1,7,21,147,6,21,33,227,144,153,2,163,91,20,0
0,17,2422,1,31,0,5,0,0,2,27,0,15,14,33,75,21,1,9,61,156,0
3,483,1049,16,73,0,60,36,0,98,175,4,24,0,57,270,35,0,61,107,50,0
0,381,744,7,6,0,11,0,0,22,65,0,1,21,131,45,3,0,17,49,101,0
0,82,2477,19,6,0,3,8,0,1,21,0,0,21,2,68,0,9,4,1,3,0
0,0,2284,57,50,0,0,24,0,0,0,0,0,0,4,0,0,0,0,3,2,0
0,0,1117,26,276,5,2,0,6,7,33,0,21,7,26,20,26,0,55,3,4,0
0,989,601,76,25,4,11,2,3,12,298,0,39,3,35,0,0,25,115,37,36,0
0,803,3677,25,79,0,34,0,1,53,107,8,64,0,47,0,91,0,528,391,63,0
37,2222,261,172,78,69,8,2220,18,6,147,3,1,0,127,120,0,2,87,298,654,0
0,206,2287,33,21,0,17,0,8,11,84,0,7,46,8,59,55,0,54,20,4,45
0,74,1950,13,15,0,17,10,2,16,212,1,87,29,104,164,0,271,127,161,14,0
2,314,1054,1,21,0,8,6,2,1,52,2,5,11,25,375,0,0,261,90,19,0
0,0,1495,5,8,0,0,79,0,0,0,0,3,0,3,0,0,0,10,0,5,0
143,564,1477,39,100,2,27,2,3,37,416,1,17,104,134,573,21,0,360,119,92,0
0,196,2152,14,5,0,1,14,3,0,120,0,17,4,92,34,2,0,30,9,44,0
0,491,1985,32,91,7,73,370,1,51,864,28,70,12,457,241,32,800,11,105,181,483
0,0,332,15,6,0,0,0,0,2,89,0,0,0,11,123,0,0,7,2,4,0
2,511,124,7,14,0,0,50,0,1,21,0,1,0,19,5,0,0,13,134,23,0
0,67,559,8,21,0,44,6,2,20,621,0,9,20,80,275,10,0,26,92,99,0
18,725,2971,69,70,10,61,65,22,73,319,1,125,61,256,0,0,0,588,155,76,0
1,292,140,3,37,2,10,0,2,5,208,2,10,19,71,53,0,0,50,78,129,22
0,0,3186,27,15,0,0,0,0,1,27,0,1,0,25,0,0,0,0,20,1,0
188,282,766,6,71,19,70,43,0,8,244,4,37,79,44,141,0,0,1,182,124,0
0,370,4999,6,34,3,12,0,4,2,32,0,174,0,61,136,0,0,53,8,51,242
2,69,1730,175,106,26,69,86,11,22,148,6,11,51,121,295,0,23,48,140,311,0
0,91,3429,194,109,3,20,0,17,32,139,0,0,19,33,202,158,0,299,10,4,276
0,128,3085,36,48,1,31,0,1,4,213,13,177,0,177,255,75,0,65,9,18,61
0,39,1669,8,21,0,17,0,3,9,30,0,11,1,26,370,36,10,62,12,19,26
134,95,1095,24,44,0,76,0,2,99,172,0,58,32,38,187,14,30,98,63,13,87
0,80,1406,22,49,0,42,81,4,9,162,0,47,0,199,16,0,7,46,102,197,0
98,184,1205,9,9,0,24,284,2,16,59,0,3,10,739,133,0,316,8,90,12,14
3,802,2668,16,26,5,20,41,2,2,13,5,0,3,34,204,0,3,0,69,30,0
21,287,5077,26,40,0,116,0,4,7,126,27,76,44,84,22,45,0,97,18,96,1
0,158,5459,8,128,0,3,9,0,4,160,0,197,0,32,369,0,0,215,17,22,0
0,292,2186,4,12,0,6,0,0,1,0,1,0,8,4,1244,41,0,21,9,2,292
2,88,2278,8,10,0,2,0,1,10,21,9,13,11,30,217,47,2,72,25,18,32
0,69,1726,52,35,3,25,65,3,6,52,2,5,50,18,191,0,1,13,18,113,0
0,37,2907,1,21,0,0,368,7,0,194,0,47,3,43,164,73,288,4,0,10,0
0,56,237,2,8,2,3,1,0,3,214,0,0,2,54,16,6,0,225,46,41,0
13,622,1856,4,9,9,6,0,1,4,221,0,15,15,163,62,0,2,209,217,46,0
0,539,3698,15,14,0,32,371,5,3,291,4,11,41,515,52,0,0,51,1409,101,0
0,949,6125,166,290,45,157,0,0,222,764,0,9,185,337,299,641,4,33,1189,174,24
0,0,4159,16,17,1,6,74,0,1,33,0,309,0,0,355,0,0,0,71,0,62
0,1299,8877,121,203,1,72,0,7,71,149,5,123,0,564,887,41,0,190,242,76,298
0,6,46,1,1,0,0,4,0,0,8,0,12,4,3,5,0,715,11,1,0,8
0,232,3349,19,208,1,5,0,3,9,533,3,26,22,161,223,3,322,174,251,88,150
0,1,1081,2,6,0,0,205,4,2,23,0,56,0,1,50,0,2545,41,3,11,455
0,370,328,10,36,4,6,3,7,21,401,0,18,2,791,119,2,965,25,26,38,239
4,334,3024,32,51,3,20,0,1,45,477,3,4,46,127,0,6,0,40,72,88,0
0,174,3841,10,41,4,17,0,1,6,170,1,70,0,81,648,876,1,156,15,40,0
0,169,3337,26,49,2,5,0,0,15,287,0,4,0,127,320,76,1,62,10,19,0
0,464,3414,41,57,2,349,0,5,21,1616,11,62,24,604,256,116,2,263,214,190,7
