Abiotrophia,Acidaminococcus,Actinobacillus,Actinomyces,Adlercreutzia,Aggregatibacter,Akkermansia,Alistipes,Allobaculum,Anaerococcus,Anaerofilum,Anaerofustis,Anaerostipes,Anaerotruncus,Anaerovorax,Asteroleplasma,Atopobium,Bacillus,Bacteroides,Bifidobacterium,Bilophila,Blautia,Brachymonas,Brachyspira,Bulleidia,Campylobacter,Capnocytophaga,Catenibacterium,Citrobacter,Cloacibacillus,Clostridium,Collinsella,Comamonas,Coprobacillus,Coprococcus,Corynebacterium,Dehalobacterium,Desulfovibrio,Dialister,Dorea,Dysgonomonas,Eggerthella,Enterococcus,Escherichia,Eubacterium,Faecalibacterium,Finegoldia,Fusobacterium,Gardnerella,Gemella,Granulicatella,Haemophilus,Helicobacter,Herbaspirillum,Holdemania,Klebsiella,LE30,Lachnobacterium,Lachnospira,Lactobacillus,Lactococcus,Lautropia,Leptotrichia,Megamonas,Megasphaera,Methanobrevibacter,Methylobacterium,Mitsuokella,Mobiluncus,Moraxella,Moryella,Mycoplasma,Neisseria,Odoribacter,Oribacterium,Oscillospira,Oxalobacter,Parabacteroides,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Propionibacterium,Pseudobutyrivibrio,Pseudomonas,RFN20,Raoultella,Roseburia,Rothia,Ruminococcus,Sarcina,Selenomonas,Slackia,Sneathia,Sphingobium,Staphylococcus,Streptococcus,Subdoligranulum,Succinivibrio,Sutterella,Synergistes,TG5,Tannerella,Trabulsiella,Treponema,Turicibacter,Varibaculum,Veillonella,Wautersiella,Weissella
0.0,0.0,0.0,0.0,0.022862368541380886,0.0,0.0,4.275262917238226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.69913122999543,0.0,0.0,0.2286236854138089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1600365797896662,0.04572473708276177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04572473708276177,0.0,0.0,0.0,0.0,0.0,2.1262002743484225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022862368541380886,0.411522633744856,0.09144947416552354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4572473708276178,0.0,0.2743484224965706,0.0,3.8180155464106083,0.0,0.0,0.0,0.09144947416552354,0.0,0.04572473708276177,0.0,0.0,0.0,0.0,0.0,1.2574302697759487,0.0,0.8687700045724738,0.0,0.0,0.0,0.0,0.0,0.0,0.022862368541380886,0.0,0.0,2.034750800182899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02206531332744925,0.0,0.0441306266548985,0.0,0.0,0.0,0.0,74.51456310679612,0.06619593998234775,0.0,2.1844660194174756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48543689320388345,0.4192409532215357,0.0,0.02206531332744925,1.3459841129744041,0.0,0.0,0.15445719329214475,0.39717563989408644,0.0,0.0441306266548985,0.0441306266548985,0.0,0.529567519858782,2.8905560458958517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11032656663724624,0.0,0.0,0.02206531332744925,0.37511032656663723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.481023830538394,0.0,0.0,0.0,0.0,0.0,0.11032656663724624,0.0,0.0,0.0,0.0,0.0,2.2947925860547222,0.0,0.7722859664607238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.669902912621359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6493506493506493,0.0,0.0,0.0,0.0,0.0,0.15584415584415584,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,88.51948051948052,0.0,0.0,0.49350649350649356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9610389610389611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15584415584415584,0.05194805194805195,0.0,0.0,0.0,0.05194805194805195,0.15584415584415584,1.5584415584415585,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3116883116883117,0.0,0.12987012987012986,0.0,2.0779220779220777,0.0,0.0,0.0,0.0,0.0,0.07792207792207792,0.0,0.0,0.0,0.0,0.0,2.4675324675324677,0.0,1.4025974025974026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6753246753246753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0
0.0,0.0,0.0,0.0,0.042710706150341685,0.0,1.2386104783599088,14.493166287015946,0.0,0.014236902050113895,0.0,0.0,0.0,0.05694760820045558,0.0,0.0,0.0,0.0,30.01138952164009,0.02847380410022779,0.08542141230068337,0.9965831435079727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2528473804100226,0.014236902050113895,0.0,0.014236902050113895,0.8257403189066059,0.0,0.02847380410022779,0.0,0.3843963553530752,0.042710706150341685,0.0,0.0,0.0,0.5694760820045558,0.8542141230068337,15.560933940774488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014236902050113895,0.042710706150341685,0.0,0.02847380410022779,0.0,0.3701594533029613,0.0,0.0,0.0,0.02847380410022779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5125284738041003,0.0,9.040432801822323,0.0,2.050113895216401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014236902050113895,0.0,0.0,11.916287015945331,0.0,4.4276765375854215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.025626423690205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014236902050113895,0.0,0.0,0.0,0.0
0.0,0.0,0.02795638803466592,0.0,0.0,0.0,0.05591277606933184,5.060106234274532,0.0,0.0,0.0,0.0,0.0,0.02795638803466592,0.0,0.0,0.02795638803466592,0.0,42.91305563321219,0.0,0.0,1.8730779983226167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9010343863572827,0.0,0.0,0.0,0.726866088901314,0.0,0.02795638803466592,0.0,0.0,0.2516074923119933,0.0,0.0,0.0,0.0,0.4193458205199888,2.2924238188426056,0.0,0.0,0.0,0.0,0.0,0.8666480290746437,0.0,0.0,0.0,0.0,0.0,0.16773832820799553,0.3075202683813251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.116019010343863,0.0,20.91137824993011,0.0,0.0,0.0,4.137545429130556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.610567514677104,0.0,3.214984623986581,0.0,0.0,0.0,0.0,0.0,0.0,0.16773832820799553,0.698909700866648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02795638803466592,0.0,0.16773832820799553,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.974870657797487,6.042128603104214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.91056910569105,0.0,0.0,0.9238728750923874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45750184774575,0.0,0.0,0.0,0.3325942350332594,0.0,0.0,0.0,1.533628972653363,0.03695491500369549,0.0,0.0,0.0,0.0,0.3141167775314117,8.998521803399852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018477457501847747,0.20325203252032523,0.0,0.0,0.0,0.0,0.05543237250554324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.122690317812269,0.0,2.3466371027346637,0.0,2.864005912786401,0.0,0.0,0.0,0.0,0.0,0.14781966001478197,0.0,0.0,0.0,0.0,0.0,6.9660014781966,0.0,1.6075388026607538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5912786400591279,0.0,1.5521064301552108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.08071025020177562,0.0,0.0,0.0,2.4213075060532687,0.0,0.0,0.0,0.0,0.0,0.08071025020177562,0.0,0.0,0.0,0.0,76.10976594027441,0.0,0.0,1.2106537530266344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8878127522195319,0.0,0.0,0.0,0.40355125100887806,0.0,0.0,0.0,3.7933817594834545,0.08071025020177562,0.0,0.0,0.0,0.0,0.08071025020177562,3.87409200968523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08071025020177562,0.08071025020177562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8071025020177561,0.0,0.24213075060532688,0.0,6.941081517352704,0.0,0.0,0.0,0.0,0.0,0.16142050040355124,0.0,0.0,0.0,0.0,0.0,1.533494753833737,0.0,1.0492332526230832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08071025020177562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017064846416382253,0.0,0.0,0.0,0.0,0.0,96.58703071672356,0.0,0.0,0.2901023890784983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27303754266211605,0.0,0.0,0.0,0.051194539249146756,0.0,0.0,0.0,1.2116040955631397,0.0,0.0,0.0,0.0,0.0,0.0,0.2901023890784983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06825938566552901,0.051194539249146756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3071672354948805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3242320819112628,0.0,0.4948805460750853,0.0,0.0,0.0,0.0,0.0,0.0,0.017064846416382253,0.017064846416382253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09225092250922509,0.0,0.0,0.0,0.0,0.0,0.13837638376383762,0.0,0.0,0.046125461254612546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.782287822878229,0.0,0.0,1.107011070110701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7214022140221403,0.09225092250922509,0.0,0.0,1.3376383763837638,0.0,0.046125461254612546,0.0,0.0,0.09225092250922509,0.0,0.0,0.0,0.0,0.7380073800738007,10.608856088560886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046125461254612546,0.23062730627306272,0.0,0.0,0.0,0.0,0.0,0.18450184501845018,0.0,0.0,0.09225092250922509,0.0,0.0,0.0,0.0,0.0,0.23062730627306272,0.0,60.05535055350554,0.0,2.4907749077490773,0.0,0.0,0.0,0.0,0.0,7.24169741697417,0.0,0.0,0.0,0.0,0.0,1.6605166051660518,0.0,6.503690036900369,0.0,0.0,0.09225092250922509,0.0,0.0,0.0,0.0,0.32287822878228783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046125461254612546,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3818876159301691,9.00163666121113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.29405346426624,0.0,0.0,0.5455537370430987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7910529187124932,0.0,0.0,0.027277686852154936,0.12274959083469722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1320240043644298,7.446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6001091107474086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09547190398254228,0.0,0.5182760501909438,0.0,5.919258046917621,0.0,0.0,0.0,0.7774140752864157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7277686852154934,0.0,0.7364975450081833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8821603927986905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.05750431282346176,0.0,0.0,11.558366877515812,0.0,0.0,0.0,0.0,0.0,0.02875215641173088,0.0,0.0,0.0,0.05750431282346176,56.32547441058079,0.0,0.0,0.5175388154111558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14376078205865442,0.11500862564692352,0.0,0.0,1.4951121334100057,0.0,0.0,0.05750431282346176,0.0,0.05750431282346176,0.0,0.0,0.0,0.0,0.2012650948821162,3.939045428407131,0.0,0.0,0.0,0.0,0.0,0.08625646923519263,0.0,0.0,0.0,0.0,0.0,0.0,0.11500862564692352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.699252443933296,0.0,4.25531914893617,0.0,3.737780333525014,0.0,0.0,0.0,0.0,0.0,4.801610120759057,0.0,0.0,0.0,0.0,0.0,1.1213341000575043,0.0,1.9838987924094307,0.0,0.0,0.0,0.0,0.0,0.0,0.05750431282346176,0.3450258769407705,0.0,2.2139160437032777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02875215641173088,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6786841912034656,0.0,0.0,0.0,0.0,0.0,0.007342683016374182,0.0,0.0,0.0,0.0,82.95763271899553,0.0,0.0,0.12482561127836111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27902195462221896,0.007342683016374182,0.0,0.0,0.5360158601953153,0.0,0.007342683016374182,0.0,0.13951097731110948,0.044056098098245094,0.0,0.0,0.0,0.0,0.044056098098245094,2.9150451575005505,0.0,0.0,0.0,0.0,0.0,0.03671341508187092,0.0,0.0,0.0,0.0,0.0,0.0,0.844408546883031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007342683016374182,0.15419634334385784,0.0,1.005947573243263,0.0,5.139878111461928,0.0,0.0,0.0,0.0,0.0,0.007342683016374182,0.0,0.0,0.0,0.08811219619649019,0.0,0.3010500036713415,0.0,0.29370732065496735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14685366032748368,0.0,1.167486599603495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06608414714736766,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.22558087074216107,4.69208211143695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.80757951725694,0.04511617414843221,0.0,0.11279043537108054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4060455673358899,0.0,0.0,0.0,0.4737198285585382,0.0,0.0,0.0,0.4737198285585382,0.0,0.0,0.0,0.0,0.06767426122264832,0.13534852244529663,41.46176404240921,0.0,0.0,0.0,0.022558087074216106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04511617414843221,0.4060455673358899,0.022558087074216106,0.0,0.0,0.0,0.0,0.022558087074216106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27069704489059326,0.0,4.083013760433115,0.022558087074216106,0.6993006993006993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15790660951951274,0.0,3.519061583577713,0.0,0.0,0.0,0.0,0.0,0.0,0.022558087074216106,1.8046469659372886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8516678495386799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.003548616039744,0.0,0.0,0.14194464158977999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8516678495386799,0.0,0.0,0.0,0.14194464158977999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.924059616749467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6905606813342797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07097232079488999,0.0,0.21291696238466998,0.0,0.7806955287437899,0.0,0.0,0.0,1.5613910574875798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8388928317955995,0.0,8.658623136976578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8516678495386799,0.0,1.4194464158977997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
