Akkermansia,Alistipes,Bacteroides,Blautia,Clostridium,Collinsella,Coprococcus,Dialister,Dorea,Eubacterium,Faecalibacterium,Lachnobacterium,Lachnospira,Odoribacter,Oscillospira,Parabacteroides,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,Subdoligranulum,Sutterella
1,5,20,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
1,10,20,1,2,1,2,1,1,2,4,1,1,1,2,6,1,1,2,3,1,1
1,11,20,1,1,1,1,1,1,1,2,1,1,1,4,2,1,1,1,2,3,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,20,13,2,1,1,1,1,1,1,7,1,1,1,1,1,1,1,3,1,1,1
1,5,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1
1,20,3,2,1,1,1,20,1,1,2,1,1,1,2,2,1,1,1,3,6,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,3,1,1,1,2,2,1,3,2,2,1,1
1,6,20,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,5,2,1,1
1,1,20,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,20,1,2,1,1,1,1,1,6,1,1,2,2,8,1,1,5,2,2,1
1,2,20,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1,5,20,1,1,1,1,4,1,1,9,1,1,1,5,3,1,9,1,2,2,5
1,1,20,1,1,1,1,1,1,1,6,1,1,1,1,8,1,1,1,1,1,1
1,20,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,1,1
1,3,19,1,1,1,2,1,1,1,20,1,1,1,3,9,1,1,1,3,4,1
1,5,20,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,4,2,1,1
1,20,10,1,3,1,1,1,1,1,15,1,1,2,5,4,1,1,4,6,9,2
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,8,20,1,2,1,2,2,1,1,7,1,1,3,2,4,1,1,1,5,4,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,3,2,1,1,1,1,1,2,1,1,1,2,4,1,1,1,2,4,1
1,1,20,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2
1,1,20,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1
3,2,20,1,1,1,2,1,1,2,4,1,2,1,1,4,1,1,2,2,1,2
1,2,20,1,1,1,1,2,1,1,3,1,1,1,3,1,1,1,1,2,3,1
2,4,20,1,1,1,1,5,1,1,1,1,1,1,13,3,1,6,1,2,1,1
1,7,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,3,20,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1,1,1,3
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1
1,1,20,1,1,1,1,3,1,1,2,1,1,1,1,2,1,2,1,1,1,1
1,5,20,1,1,1,1,1,1,1,19,1,1,1,5,2,1,1,19,4,4,1
1,7,20,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,3,3,1,1
1,3,20,1,1,1,1,3,1,1,2,1,1,1,3,1,1,1,1,8,1,1
1,4,20,1,1,1,1,1,1,1,3,1,1,1,2,1,3,1,1,4,1,1
1,1,20,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1
1,3,20,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1
1,2,20,1,2,1,1,1,1,1,4,1,1,1,1,2,1,2,2,2,1,1
1,1,9,1,1,1,1,2,1,1,1,1,1,1,1,1,1,20,1,1,1,4
1,8,7,1,1,1,1,1,1,1,9,1,1,1,17,3,1,20,1,1,1,5
1,3,20,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1
1,2,20,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1
1,3,20,1,1,1,3,1,1,1,10,1,1,1,4,2,1,1,2,2,2,1
1,2,20,1,2,1,1,1,1,1,2,1,1,1,5,5,1,3,1,1,1,3
1,6,20,1,1,1,1,1,1,1,7,1,1,1,1,6,1,1,1,1,1,1
1,4,20,1,2,1,1,1,1,1,7,2,1,1,3,1,1,4,1,3,1,3
1,2,20,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,20,1,1,1,1
1,1,20,1,1,1,1,1,1,2,8,1,1,1,4,2,1,7,4,1,2,1
1,4,20,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
1,9,20,1,1,1,1,1,1,1,6,1,1,1,6,4,1,1,4,1,1,3
1,7,20,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1
1,6,20,1,1,1,4,1,1,1,8,1,1,1,12,3,1,9,1,1,3,1
1,1,20,4,3,2,2,1,1,3,16,1,1,1,3,3,1,4,14,3,2,3
1,8,20,1,1,1,1,1,1,1,3,1,2,1,2,2,1,1,3,3,1,1
1,3,20,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,3,1,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,5,20,3,1,1,1,1,1,3,9,1,2,1,2,1,3,1,3,2,1,3
1,2,20,1,1,1,1,1,1,1,2,1,1,1,4,1,2,1,2,1,1,1
1,16,16,1,1,1,3,1,1,1,7,1,1,3,6,4,1,20,2,1,2,2
1,2,20,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1
1,2,20,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,2,1,1,1
1,2,20,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,4,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
1,5,20,1,1,1,1,1,1,1,1,1,1,1,4,12,1,3,1,1,1,2
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
1,5,20,1,1,1,1,1,1,1,3,1,1,1,7,2,1,9,2,1,1,2
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,3,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,1
1,1,20,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,2,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,10,20,1,2,1,1,1,1,1,1,1,1,1,2,2,4,14,1,1,1,1
1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,4,1,20,1,3,1,1
1,4,14,2,4,1,1,2,1,2,6,1,1,1,1,2,1,20,5,2,5,1
1,3,20,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1
1,1,11,5,4,2,2,1,1,2,3,1,1,1,20,3,1,7,3,8,1,1
1,1,20,3,1,1,1,1,1,1,2,1,4,1,1,1,1,1,5,1,1,1
1,3,20,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,13,1,3,1
1,1,20,1,1,1,1,1,1,2,3,1,2,1,2,4,1,1,4,1,2,1
1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1
1,12,20,1,1,1,1,1,1,1,3,1,1,1,9,2,1,3,2,7,1,1
1,1,20,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
1,3,20,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
1,2,20,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
1,5,20,1,1,1,1,1,1,1,4,1,1,1,1,3,1,1,7,3,1,1
1,3,20,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,2,3,1,1
1,2,20,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,10,20,1,1,1,2,1,1,1,2,1,2,1,4,2,1,1,1,4,1,1
1,4,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,11,20,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,2,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1
1,4,20,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,3,1,1
1,2,20,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
1,6,20,1,1,1,1,1,1,1,2,1,1,3,2,5,1,1,1,1,1,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,6
1,9,20,2,1,1,1,1,1,1,2,1,1,3,1,4,1,1,5,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,2,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,4
1,19,20,1,1,1,1,1,1,1,4,1,1,1,3,3,1,1,1,3,3,1
1,6,20,2,2,1,2,1,1,1,5,1,1,1,6,2,1,1,1,3,4,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,20,13,1,1,1,1,1,1,1,1,1,1,1,5,4,5,1,1,1,1,4
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,20,2,2,1,1,4,1,1,2,1,1,1,6,1,1,1,3,1,3,1
1,2,20,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1
1,10,20,2,1,1,1,2,1,1,12,1,1,1,10,1,1,1,1,9,4,1
1,6,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,4,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1
1,3,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,3,20,1,1,1,1,1,1,1,2,1,3,1,2,1,1,1,1,1,1,1
1,3,20,1,1,1,1,1,1,2,4,2,1,1,2,8,3,7,1,8,1,1
1,4,20,1,1,1,1,1,1,1,1,1,1,1,2,6,1,3,1,1,1,1
1,1,4,1,1,1,1,1,1,1,3,1,2,1,1,1,2,20,1,1,1,2
1,2,20,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
1,2,20,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,1,1,1
1,1,20,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
1,12,20,1,1,1,1,1,1,1,3,1,1,1,5,4,2,11,1,1,1,2
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,3,20,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,4
1,1,20,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
1,3,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,3,20,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,4,20,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1
1,3,9,2,2,1,1,4,1,1,5,1,1,1,2,20,3,7,2,1,3,1
1,1,9,2,2,1,3,6,1,1,4,4,2,1,4,8,1,20,1,2,1,1
1,5,20,1,2,1,3,2,1,2,10,1,1,2,4,4,2,4,2,3,5,1
1,1,10,1,1,1,1,5,1,1,1,1,2,1,1,2,1,20,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,2
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,9,1,1,1,1,1,1,1,2,1,1,1,1,3,6,20,2,1,1,1
1,3,20,3,3,1,1,1,1,1,2,1,1,1,1,6,1,1,8,1,2,1
1,3,18,1,1,1,1,1,1,1,4,1,1,2,2,2,1,20,1,2,1,2
1,4,20,1,1,1,1,1,1,1,2,1,1,1,3,1,2,1,1,2,1,1
1,1,20,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1
1,5,20,1,1,1,1,2,1,1,1,1,1,1,2,6,2,1,1,1,1,1
1,20,8,10,2,1,1,1,1,1,1,1,1,1,4,2,12,1,1,15,3,1
1,10,20,1,1,1,1,1,1,1,2,1,1,1,3,4,2,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
2,4,20,1,1,1,2,3,1,1,2,1,1,1,10,10,3,4,2,2,3,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,4,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
1,5,20,1,1,1,1,2,1,1,2,1,1,1,4,4,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,2,1,1,1
1,1,20,4,3,1,4,1,1,1,3,1,1,1,1,2,3,2,2,3,2,1
1,3,20,1,1,1,1,1,1,1,2,1,1,1,2,12,1,1,1,9,1,1
1,6,20,1,1,1,1,1,1,1,6,1,1,1,4,3,2,1,1,2,5,1
1,1,20,1,2,1,1,3,1,1,15,1,1,1,1,2,1,1,1,1,1,1
1,5,20,1,1,1,1,3,1,1,9,1,1,2,4,4,1,6,1,2,1,1
1,4,9,1,1,1,2,3,1,1,3,1,1,2,2,3,1,20,2,1,1,2
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
1,3,20,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1
1,2,4,1,1,1,2,1,1,1,3,1,1,1,1,1,1,20,3,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
1,1,20,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1
1,8,17,2,2,1,1,7,1,1,10,2,1,1,9,1,1,1,4,20,10,1
1,4,20,1,1,1,1,4,1,1,2,1,1,1,9,8,4,13,1,1,1,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,3,1,1,1
1,2,20,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,13,1,1
1,5,14,1,2,1,1,1,1,1,1,1,1,1,17,2,1,1,2,20,2,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1
1,1,8,1,1,1,1,2,1,1,1,1,1,1,1,2,1,20,1,2,1,1
1,3,20,1,2,1,1,1,1,2,2,1,1,1,3,6,2,1,1,1,1,6
1,2,20,1,1,1,1,1,1,1,5,1,1,1,3,3,1,1,3,2,2,1
20,3,16,7,5,1,6,1,1,1,3,1,2,1,2,3,1,1,19,6,20,1
2,3,20,1,2,1,1,3,1,1,16,1,2,1,4,1,1,1,2,7,13,1
8,8,8,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,15,20,4,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,4,1,17,1,1,1,2
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
